"","st_abb","st_code","date","stability","ppt","tmax","tmin","tavg","dday_a0C","dday_a5C","dday_a8C","dday_a10C","dday_a12C","dday_a15C","dday_a18C","dday_a20C","dday_a21C","dday_a25C","dday_a29C","dday_a30C","dday_a31C","dday_a32C","dday_a33C","dday_a34C","dday_b15C","dday_b18C","dday_b21C"
"1","AL",1,20170101,"stable",25.626,13.849,4.712,9.28,9.28,4.439,2.318,1.336,0.673,0.157,0.013,0,0,0,0,0,0,0,0,0,5.877,8.733,11.72
"2","AL",1,20170102,"stable",40.827,17.97,12.968,15.469,15.469,10.469,7.481,5.537,3.728,1.53,0.37,0.105,0.047,0,0,0,0,0,0,0,1.061,2.901,5.578
"3","AL",1,20170103,"stable",54.893,19.5,13.828,16.664,16.665,11.665,8.665,6.665,4.667,2.016,0.622,0.25,0.142,0.001,0,0,0,0,0,0,0.352,1.958,4.478
"4","AL",1,20170104,"stable",0.048,19.158,8.744,13.951,13.951,8.969,6.118,4.356,2.888,1.277,0.325,0.072,0.017,0,0,0,0,0,0,0,2.326,4.374,7.066
"5","AL",1,20170105,"stable",0.002,11.202,-0.147,5.527,5.714,2.286,1.067,0.544,0.227,0.021,0,0,0,0,0,0,0,0,0,0,9.494,12.473,15.473
"6","AL",1,20170106,"stable",1.476,11.874,-0.141,5.867,6.075,2.665,1.385,0.783,0.377,0.068,0,0,0,0,0,0,0,0,0,0,9.202,12.133,15.133
"7","AL",1,20170107,"stable",15.475,2.83,-5.973,-1.572,1.143,0.183,0.023,0.003,0,0,0,0,0,0,0,0,0,0,0,0,16.572,19.572,22.572
"8","AL",1,20170108,"stable",0.048,0.504,-8.825,-4.161,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.161,22.161,25.161
"9","AL",1,20170109,"stable",0,3.055,-8.906,-2.925,0.886,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.925,20.925,23.925
"10","AL",1,20170110,"stable",0.033,10.391,-5.464,2.463,3.938,1.448,0.499,0.172,0.042,0,0,0,0,0,0,0,0,0,0,0,12.537,15.537,18.537
"11","AL",1,20170111,"stable",1.618,17.474,4.597,11.036,11.039,6.34,3.948,2.684,1.662,0.574,0.082,0.004,0,0,0,0,0,0,0,0,4.538,7.047,9.964
"12","AL",1,20170112,"stable",0.452,21.61,12.601,17.105,17.105,12.105,9.105,7.115,5.196,2.721,1.096,0.44,0.226,0,0,0,0,0,0,0,0.616,1.991,4.12
"13","AL",1,20170113,"stable",0.041,23.526,11.656,17.591,17.591,12.591,9.591,7.619,5.763,3.425,1.728,0.897,0.578,0.001,0,0,0,0,0,0,0.834,2.137,3.987
"14","AL",1,20170114,"stable",0.125,24.293,9.144,16.719,16.719,11.719,8.72,6.849,5.268,3.338,1.825,1.051,0.742,0.024,0,0,0,0,0,0,1.62,3.107,5.024
"15","AL",1,20170115,"stable",0,24.249,8.371,16.31,16.31,11.31,8.331,6.567,5.082,3.227,1.75,0.972,0.652,0.002,0,0,0,0,0,0,1.918,3.44,5.342
"16","AL",1,20170116,"stable",0,23.086,8.681,15.883,15.883,10.883,7.907,6.126,4.628,2.783,1.369,0.672,0.413,0,0,0,0,0,0,0,1.9,3.485,5.529
"17","AL",1,20170117,"stable",0.071,23.791,12.057,17.924,17.924,12.924,9.924,7.933,6.039,3.679,1.903,1.023,0.679,0.012,0,0,0,0,0,0,0.755,1.979,3.755
"18","AL",1,20170118,"stable",1.773,23.835,13.866,18.851,18.851,13.851,10.851,8.852,6.875,4.204,2.154,1.187,0.814,0.019,0,0,0,0,0,0,0.353,1.303,2.964
"19","AL",1,20170119,"stable",0.959,21.399,12.967,17.183,17.183,12.183,9.183,7.189,5.301,2.96,1.383,0.735,0.501,0.009,0,0,0,0,0,0,0.777,2.2,4.318
"20","AL",1,20170120,"stable",26.045,21.184,13.821,17.503,17.503,12.503,9.503,7.503,5.528,2.908,1.171,0.535,0.325,0,0,0,0,0,0,0,0.405,1.669,3.823
"21","AL",1,20170121,"stable",14.999,23.154,14.413,18.784,18.784,13.784,10.784,8.784,6.789,4.057,1.919,0.937,0.577,0.001,0,0,0,0,0,0,0.273,1.135,2.794
"22","AL",1,20170122,"stable",34.756,20.807,13.562,17.184,17.184,12.184,9.184,7.184,5.199,2.646,0.908,0.306,0.144,0,0,0,0,0,0,0,0.461,1.724,3.96
"23","AL",1,20170123,"stable",26.74,18.758,10.102,14.43,14.43,9.43,6.43,4.475,2.87,1.17,0.252,0.044,0.009,0,0,0,0,0,0,0,1.74,3.822,6.579
"24","AL",1,20170124,"stable",0.031,17.407,4.463,10.935,10.936,6.159,3.834,2.629,1.642,0.596,0.09,0.002,0,0,0,0,0,0,0,0,4.661,7.155,10.065
